original_probability,new_probability,confidence_diff,original_class,class_change,no_features,nsamples,explainer,time,reverse_order,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
0.60612196,0.60612196,0.0,1,False,2,100,shap,1.50319242477417,True,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.46669674,0.13942522,1,True,3,100,shap,1.2947983741760254,False,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.60294425,0.0031777024,1,False,3,100,shap,1.3705272674560547,True,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.38925928,0.21686268,1,True,4,100,shap,1.3014132976531982,False,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.6060175,0.00010448694,1,False,4,100,shap,1.2798333168029785,True,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.3604068,0.24571517,1,True,5,100,shap,1.3550376892089844,False,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.6043358,0.0017861724,1,False,5,100,shap,0.8347172737121582,True,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.38046572,0.22565624,1,True,6,100,shap,0.7701728343963623,False,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.6046715,0.001450479,1,False,6,100,shap,1.0168116092681885,True,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.4862213,0.119900644,1,True,7,100,shap,0.7822425365447998,False,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.5929863,0.013135672,1,False,7,100,shap,1.0205304622650146,True,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.36053476,0.2455872,1,True,8,100,shap,1.0320584774017334,False,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.5949963,0.011125684,1,False,8,100,shap,0.7885591983795166,True,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.4290668,0.17705515,1,True,9,100,shap,1.1086440086364746,False,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.59974927,0.00637269,1,False,9,100,shap,1.1533856391906738,True,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.44623917,0.15988278,1,True,10,100,shap,1.1442046165466309,False,4,1,31,21,19,24,28,29,18,10,8
0.60612196,0.59541476,0.0107072,1,False,10,100,shap,1.5877540111541748,True,4,1,31,21,19,24,28,29,18,10,8
0.5878688,0.58786875,5.9604645e-08,1,False,0,100,shap,13.426208257675171,False,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.58786875,5.9604645e-08,1,False,0,100,shap,1.564786672592163,True,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.5430953,0.04477352,1,False,1,100,shap,1.3911492824554443,False,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.58786875,5.9604645e-08,1,False,1,100,shap,0.8123526573181152,True,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.55362535,0.034243464,1,False,2,100,shap,0.7729685306549072,False,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.58786875,5.9604645e-08,1,False,2,100,shap,0.7854635715484619,True,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.45891422,0.12895459,1,True,3,100,shap,0.8401446342468262,False,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.58786875,5.9604645e-08,1,False,3,100,shap,1.3154594898223877,True,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.42137712,0.16649169,1,True,4,100,shap,0.839409351348877,False,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.58786875,5.9604645e-08,1,False,4,100,shap,0.852027177810669,True,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.46691698,0.12095183,1,True,5,100,shap,0.9996263980865479,False,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.58786875,5.9604645e-08,1,False,5,100,shap,1.085787296295166,True,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.43355423,0.15431458,1,True,6,100,shap,1.2574973106384277,False,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.5805286,0.007340193,1,False,6,100,shap,1.3492538928985596,True,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.44916812,0.1387007,1,True,7,100,shap,1.7080307006835938,False,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.5840696,0.0037992,1,False,7,100,shap,2.0144288539886475,True,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.40620375,0.18166506,1,True,8,100,shap,0.9683256149291992,False,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.5772054,0.01066339,1,False,8,100,shap,0.9295961856842041,True,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.3998265,0.18804231,1,True,9,100,shap,0.9372527599334717,False,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.5755392,0.012329638,1,False,9,100,shap,1.3045101165771484,True,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.4172675,0.17060131,1,True,10,100,shap,1.0596168041229248,False,2,9,0,3,1,5,7,12,19,18,8
0.5878688,0.56054944,0.027319372,1,False,10,100,shap,1.0024468898773193,True,2,9,0,3,1,5,7,12,19,18,8
0.5525517,0.5525517,0.0,1,False,0,100,shap,7.424434423446655,False,4,1,9,31,12,21,25,23,10
0.5525517,0.5525517,0.0,1,False,0,100,shap,0.9539389610290527,True,4,1,9,31,12,21,25,23,10
0.5525517,0.3994478,0.15310389,1,True,1,100,shap,0.8338627815246582,False,4,1,9,31,12,21,25,23,10
0.5525517,0.551182,0.0013697147,1,False,1,100,shap,1.1894795894622803,True,4,1,9,31,12,21,25,23,10
0.5525517,0.5534457,-0.00089401007,1,False,2,100,shap,1.0382211208343506,False,4,1,9,31,12,21,25,23,10
0.5525517,0.54908997,0.0034617186,1,False,2,100,shap,0.835407018661499,True,4,1,9,31,12,21,25,23,10
0.5525517,0.43208018,0.12047151,1,True,3,100,shap,0.8007686138153076,False,4,1,9,31,12,21,25,23,10
0.5525517,0.55087215,0.0016795397,1,False,3,100,shap,0.7757303714752197,True,4,1,9,31,12,21,25,23,10
0.5525517,0.48425913,0.06829256,1,True,4,100,shap,0.803743839263916,False,4,1,9,31,12,21,25,23,10
0.5525517,0.5498122,0.002739489,1,False,4,100,shap,0.9180123805999756,True,4,1,9,31,12,21,25,23,10
0.5525517,0.4296412,0.1229105,1,True,5,100,shap,0.9797484874725342,False,4,1,9,31,12,21,25,23,10
0.5525517,0.5279466,0.024605095,1,False,5,100,shap,1.4118547439575195,True,4,1,9,31,12,21,25,23,10
